unit,unit_shorthand,unit_full_title,origin,cost,search_name
freyr-5,Freyr 5★,Fertility Emperor Freyr,Freyr Invades!,48,Freyr 5
freyr-6,Freyr 6★,Crimson Fertility God Freyr,Freyr Invades!,48,Freyr 6
yomi-4,Yomi 4★,"Yomi, the Shuten-Doji",Yomi Invades!,48,Yomi 4
yomi-5,Yomi 5★,"Yomi, the Raging Oni",Yomi Invades!,48,Yomi 5
yomi-6,Yomi 6★,"Yomi, the Mad Oni God",Yomi Invades!,48,Yomi 6
shoki-4,Shoki 4★,Shoki the Nurarihyon,Shoki Invades!,48,Shoki 4
shoki-5,Shoki 5★,Youkai General Shoki,Shoki Invades!,48,Shoki 5
shoki-6,Shoki 6★,"Shoki, Lord of a Thousand Oni",Shoki Invades!,48,Shoki 6
shiva-4,Shiva 4★,Shiva,Shiva Invades!,48,Shiva 4
shiva-5,Shiva 5★,"Shiva, Judge of Ruin",Shiva Invades!,48,Shiva 5
shiva-6,Shiva 6★,"Shiva, Judge of Annihilation",Shiva Invades!,48,Shiva 6
kama-4,Kama 4★,Kama,Kama Invades!,48,Kama 4
kama-5,Kama 5★,"Kama, Deity of Love",Kama Invades!,48,Kama 5
kama-6,Kama 6★,"Kama, the Love Archer",Kama Invades!,48,Kama 6
gareth-4,Gareth 4★,Gareth,Gareth Invades!,48,Gareth 4
gareth-5,Gareth 5★,"Gareth, the Pure White Twinblade",Gareth Invades!,48,Gareth 5
gareth-6,Gareth 6★,Mad Sword Performer Gareth,Gareth Invades!,48,Gareth 6
shingen_takeda-5,Shingen Takeda 5★,Shingen Takeda,Shingen Takeda Invades!,48,Shingen Takeda 5
shingen_takeda-6,Shingen Takeda 6★,"Shingen Takeda, Calm Daredevil",Shingen Takeda Invades!,48,Shingen Takeda 6
beelzebub-5,Beelzebub 5★,Beelzebub,Beelzebub Invades!,48,Beelzebub 5
beelzebub-6,Beelzebub 6★,Lord of Flies Beelzebub,Beelzebub Invades!,48,Beelzebub 6
xena-5,Xena 5★,Wish-granting Lantern Xena,Xena Invades!,48,Xena 5
xena-6,Xena 6★,Giant Blue Lantern Xena,Xena Invades!,48,Xena 6
typhon-5,Typhon 5★,Typhon,Typhon Invades!,48,Typhon 5
typhon-6,Typhon 6★,"Typhon, War God of Destruction",Typhon Invades!,48,Typhon 6
louis_xvi-5,Louis XVI 5★,Louis XVI,Louis XVI Invades!,48,Louis XVI 5
louis_xvi-6,Louis XVI 6★,Tempering King Louis XVI,Louis XVI Invades!,48,Louis XVI 6
osiris-5,Osiris 5★,Osiris,Osiris Invades!,48,Osiris 5
osiris-6,Osiris 6★,Risen Deity Osiris,Osiris Invades!,48,Osiris 6
benkei_musashibo-5,Benkei Musashibo 5★,Benkei Musashibo,Benkei Musashibo Invades!,48,Benkei Musashibo 5
benkei_musashibo-6,Benkei Musashibo 6★,Ferocious Monk Benkei Musashibo,Benkei Musashibo Invades!,48,Benkei Musashibo 6
tiamat-5,Tiamat 5★,Tiamat,Tiamat Invades!,48,Tiamat 5
tiamat-6,Tiamat 6★,Splashing Chaos Tiamat,Tiamat Invades!,48,Tiamat 6
michelangelo-5,Michelangelo 5★,Michelangelo,Michelangelo Invades!,48,Michelangelo 5
michelangelo-6,Michelangelo 6★,Dawn of Destruction Michelangelo,Michelangelo Invades!,48,Michelangelo 6
atlas-5,Atlas 5★,Atlas,Atlas Invades!,48,Atlas 5
atlas-6,Atlas 6★,Ultimate Muscle Atlas,Atlas Invades!,48,Atlas 6
colchis-5,Colchis 5★,Colchis,Colchis Invades!,48,Colchis 5
colchis-6,Colchis 6★,Astral Sheep Colchis,Colchis Invades!,48,Colchis 6
lupica-5,Lupica 5★,Lupica,Lupica Invades!,48,Lupica 5
lupica-6,Lupica 6★,Imaginative Destroyer Lupica,Lupica Invades!,48,Lupica 6
eris-5,Eris 5★,Eris,Eris Invades!,48,Eris 5
eris-6,Eris 6★,Wild Calamity Eris,Eris Invades!,48,Eris 6
cascade-5,Cascade 5★,Cascade,Cascade Invades!,48,Cascade 5
cascade-6,Cascade 6★,"Cascade, the Crushing Waterfall",Cascade Invades!,48,Cascade 6
dong_zhuo-5,Dong Zhuo 5★,Dong Zhuo,Dong Zhuo Invades!,48,Dong Zhuo 5
dong_zhuo-6,Dong Zhuo 6★,Insane Prejudice Dong Zhuo,Dong Zhuo Invades!,48,Dong Zhuo 6
diaochan-5,Diaochan 5★,Diaochan,Diaochan Invades!,48,Diaochan 5
diaochan-6,Diaochan 6★,Dazzling Charmer Diaochan,Diaochan Invades!,48,Diaochan 6
athena-5,Athena 5★,Athena,Athena Invades!,48,Athena 5
athena-6,Athena 6★,Astute Ascension Athena,Athena Invades!,48,Athena 6
kali-5,Kali 5★,Kali,Kali Invades!,48,Kali 5
kali-6,Kali 6★,Dark Destroyer Kali,Kali Invades!,48,Kali 6
brahma-5,Brahma 5★,Brahma,Brahma Invades!,48,Brahma 5
brahma-6,Brahma 6★,Hoarder of Knowledge Brahma,Brahma Invades!,48,Brahma 6
uranus-5,Uranus 5★,Uranus,Uranus Invades!,48,Uranus 5
uranus-6,Uranus 6★,Planetary Shaper Uranus,Uranus Invades!,48,Uranus 6
delphyne-5,Delphyne 5★,Delphyne,Delphyne Invades!,48,Delphyne 5
delphyne-6,Delphyne 6★,Scaled Princess Delphyne,Delphyne Invades!,48,Delphyne 6
osamu_dazai-5,Osamu Dazai 5★,Osamu Dazai,Osamu Dazai Invades!,48,Osamu Dazai 5
osamu_dazai-6,Osamu Dazai 6★,Disqualified Osamu Dazai,Osamu Dazai Invades!,48,Osamu Dazai 6
shakespeare-5,Shakespeare 5★,Shakespeare,Shakespeare Invades!,48,Shakespeare 5
shakespeare-6,Shakespeare 6★,Tragic Lover Shakespeare,Shakespeare Invades!,48,Shakespeare 6
hanbei_takenaka-5,Hanbei Takenaka 5★,Hanbei Takenaka,Hanbei Takenaka Invades!,48,Hanbei Takenaka 5
hanbei_takenaka-6,Hanbei Takenaka 6★,Silver Tongue Hanbei Takenaka,Hanbei Takenaka Invades!,48,Hanbei Takenaka 6
hel-5,Hel 5★,Hel,Hel Invades!,48,Hel 5
hel-6,Hel 6★,Fledgling Demoness Hel,Hel Invades!,48,Hel 6
wakahirume-5,Wakahirume 5★,Wakahirume,Wakahirume Invades!,48,Wakahirume 5
wakahirume-6,Wakahirume 6★,Mystical Garments Wakahirume,Wakahirume Invades!,48,Wakahirume 6
jekyll_hyde-5,Jekyll & Hyde 5★,Jekyll & Hyde,Jekyll & Hyde Invades!,48,Jekyll & Hyde 5
jekyll_hyde-6,Jekyll & Hyde 6★,Abnormal Impulse Jekyll & Hyde,Jekyll & Hyde Invades!,48,Jekyll & Hyde 6
hanzo_hattori-5,Hanzo Hattori 5★,Hanzo Hattori,Hanzo Hattori Invades!,48,Hanzo Hattori 5
hanzo_hattori-6,Hanzo Hattori 6★,Silent Assassin Hanzo Hattori,Hanzo Hattori Invades!,48,Hanzo Hattori 6
zenobia-5,Zenobia 5★,Zenobia,Zenobia Invades!,48,Zenobia 5
zenobia-6,Zenobia 6★,Cunning Warrior Zenobia,Zenobia Invades!,48,Zenobia 6
fiend_w_20_faces-5,The Fiend with 20 Faces 5★,The Fiend with 20 Faces,The Fiend with 20 Faces Invades!,48,The Fiend with 20 Faces 5
fiend_w_20_faces-6,The Fiend with 20 Faces 6★,Intrepid Thief of 20 Faces,The Fiend with 20 Faces Invades!,48,The Fiend with 20 Faces 6
sun_wukong-5,Sun Wukong 5★,Lord of Mt. Huaguo Sun Wukong,Sun Wukong Invades!,48,Sun Wukong 5
sun_wukong-6,Sun Wukong 6★,Majesty of Mt. Huaguo Sun Wukong,Sun Wukong Invades!,48,Sun Wukong 6
sun_wukong-ua,Sun Wukong UA,Divine Monkey King Sun Wukong,Sun Wukong Invades!,48,Sun Wukong UA
yue_lao-5,Yue Lao 5★,"Yue Lao, Swordsman of Love",Yue Lao Invades!,48,Yue Lao 5
yue_lao-6,Yue Lao 6★,"Yue Lao, Binder of Romance",Yue Lao Invades!,48,Yue Lao 6
yue_lao-ua,Yue Lao UA,Pulverizing Blade Yue Lao,Yue Lao Invades!,48,Yue Lao UA
ox-head_horse-face-5,Ox-Head and Horse-Face 5★,Ox-Head and Horse-Face,Ox-Head and Horse-Face Invades!,48,Ox-Head and Horse-Face 5
ox-head_horse-face-6,Ox-Head and Horse-Face 6★,Stalker Ox-Head and Horse-Face,Ox-Head and Horse-Face Invades!,48,Ox-Head and Horse-Face 6
lan_caihe-5,Lan Caihe 5★,Lan Caihe,Lan Caihe Invades!,48,Lan Caihe 5
lan_caihe-6,Lan Caihe 6★,Simple and Innocent Lan Caihe,Lan Caihe Invades!,48,Lan Caihe 6
zhang_guolao-5,Zhang Guolao 5★,Zhang Guolao,Zhang Guolao Invades!,48,Zhang Guolao 5
zhang_guolao-6,Zhang Guolao 6★,Miracle Alchemist Zhang Guolao,Zhang Guolao Invades!,48,Zhang Guolao 6
cao_guojiu-5,Cao Guojiu 5★,Cao Guojiu,Cao Guojiu Invades!,48,Cao Guojiu 5
cao_guojiu-6,Cao Guojiu 6★,Noble Sage Cao Guojiu,Cao Guojiu Invades!,48,Cao Guojiu 6
zhongli_quan-5,Zhongli Quan 5★,Zhongli Quan,Zhongli Quan Invades!,48,Zhongli Quan 5
zhongli_quan-6,Zhongli Quan 6★,House Patrolman Zhongli Quan,Zhongli Quan Invades!,48,Zhongli Quan 6
hong_gui-5,Hong Gui 5★,Hong Gui,Hong Gui Invades!,48,Hong Gui 5
hong_gui-6,Hong Gui 6★,Giant Flaming Cannon Hong Gui,Hong Gui Invades!,48,Hong Gui 6
ji_chang-5,Ji Chang 5★,Ji Chang,Ji Chang Invades!,48,Ji Chang 5
ji_chang-6,Ji Chang 6★,Quick Striker Ji Chang,Ji Chang Invades!,48,Ji Chang 6
naga-5,Naga 5★,Moonlit Woe Weaver Naga,Naga Invades!,48,Naga 5
naga-6,Naga 6★,Abyssal Jade Naga,Naga Invades!,48,Naga 6
hellsing-5,Hellsing 5★,Universal Researcher Hellsing,Hellsing Invades!,48,Hellsing 5
hellsing-6,Hellsing 6★,Universal Collector Hellsing,Hellsing Invades!,48,Hellsing 6
antoine-5,Antoine 5★,Antoine Le Pilote,Antoine Invades!,48,Antoine 5
antoine-6,Antoine 6★,Ace Antoine Le Pilote,Antoine Invades!,48,Antoine 6
colossus-5,Colossus 5★,Colossus,Colossus Invades!,48,Colossus 5
colossus-6,Colossus 6★,Unshakable Pyre Colossus,Colossus Invades!,48,Colossus 6
nightgaunt-5,Nightgaunt 5★,Nightgaunt,Nightgaunt Invades!,48,Nightgaunt 5
nightgaunt-6,Nightgaunt 6★,Ruler of the Dark Nightgaunt,Nightgaunt Invades!,48,Nightgaunt 6
mongryeong-5,Mongryeong 5★,Mongryeong,Mongryeong Invades!,48,Mongryeong 5
mongryeong-6,Mongryeong 6★,Illusive Scion M. Dragon,Mongryeong Invades!,48,Mongryeong 6
jeon_woochi-5,Jeon Woochi 5★,Jeon Woochi,Jeon Woochi Invades!,48,Jeon Woochi 5
jeon_woochi-6,Jeon Woochi 6★,Self-Proclaimed Savior Jeon,Jeon Woochi Invades!,48,Jeon Woochi 6
hongryeon-5,Hongryeon 5★,Hongryeon,Hongryeon Invades!,48,Hongryeon 5
hongryeon-6,Hongryeon 6★,Sad Eroded Flower Hongryeon,Hongryeon Invades!,48,Hongryeon 6
gyebaek-5,Gyebaek 5★,Gyebaek,Gyebaek Invades!,48,Gyebaek 5
gyebaek-6,Gyebaek 6★,Iron Wall Protector Gyebaek,Gyebaek Invades!,48,Gyebaek 6
paper-5,Paper 5★,Wisdom Filled Paper,Paper Invades!,48,Paper 5
paper-6,Paper 6★,Culture Promoter Paper,Paper Invades!,48,Paper 6
movable_type-5,Movable Type 5★,Culture Record Movable Type,Movable Type Invades!,48,Movable Type 5
movable_type-6,Movable Type 6★,Wise Glyph Movable Type,Movable Type Invades!,48,Movable Type 6
gunpowder-5,Gunpowder 5★,Military Revolution Gunpowder,Gunpowder Invades!,48,Gunpowder 5
gunpowder-6,Gunpowder 6★,Celebratory Smoke Gunpowder,Gunpowder Invades!,48,Gunpowder 6
compass-5,Compass 5★,Forward Pointing Compass,Compass Invades!,48,Compass 5
compass-6,Compass 6★,Historical Magnetism Compass,Compass Invades!,48,Compass 6
kanbei-3,Kanbei 3★,Kanbei,New Year's Eve Ritual,48,Kanbei 3
kanbei-4,Kanbei 4★,Stag Slasher Kanbei,New Year's Eve Ritual,48,Kanbei 4
kanbei-5,Kanbei 5★,Gracious Ambitions Kanbei,New Year's Eve Ritual,48,Kanbei 5
kanbei-6,Kanbei 6★,Splendiferous Stag Kanbei,New Year's Eve Ritual,48,Kanbei 6
hikoboshi-5,Hikoboshi 5★,Hikoboshi,Hikoboshi Invades!,48,Hikoboshi 5
hikoboshi-6,Hikoboshi 6★,Love Hunter Hikoboshi,Hikoboshi Invades!,48,Hikoboshi 6
summer_qilin-5,Summer Qilin 5★,Summer Beast Qilin,Summer ★ Invades!,48,Summer Qilin 5
summer_qilin-6,Summer Qilin 6★,Hot Summer Qilin,Summer ★ Invades!,48,Summer Qilin 6
dolce-5,Dolce 5★,Dolce,Halloween Night Panic,48,Dolce 5
dolce-6,Dolce 6★,Twilight Imp Dolce,Halloween Night Panic,48,Dolce 6
spur-5,Spur 5★,Machine Spur,O Come All Ye Powerful,48,Spur 5
spur-6,Spur 6★,Glacial Magic Spur,O Come All Ye Powerful,48,Spur 6
paula_danny-5,Paula and Danny 5★,Paula and Danny,Paula and Danny Invade!,48,Paula and Danny 5
paula_danny-6,Paula and Danny 6★,2x Autocannon Paula and Danny,Paula and Danny Invade!,48,Paula and Danny 6
totori-5,Totori 5★,Totori,Start the Year of the Rooster with an egg,48,Totori 5
totori-6,Totori 6★,Maiden Flight Totori,Start the Year of the Rooster with an egg,48,Totori 6
white_day_grimm-5,White Day Grimm 5★,Grimm the Dandy,Send my Love to Her!,48,White Day Grimm 5
white_day_grimm-6,White Day Grimm 6★,Soul Seeker Grimm the Dandy,Send my Love to Her!,48,White Day Grimm 6
yoshino-5,Yoshino 5★,Yoshino,Spring Calls to You,48,Yoshino 5
yoshino-6,Yoshino 6★,Blossom Dreamer Yoshino,Spring Calls to You,48,Yoshino 6
skulz-5,Skulz 5★,Skulz,Skulz Invades!,48,Skulz 5
skulz-6,Skulz 6★,Vengeful Vestige Skulz,Skulz Invades!,48,Skulz 6
hellraiser-5,Hellraiser 5★,Hellraiser,Hellraiser Invades!,48,Hellraiser 5
hellraiser-6,Hellraiser 6★,Evil Executor Hellraiser,Hellraiser Invades!,48,Hellraiser 6
bride_amaterasu-6,Bride Amaterasu 6★,Sublime Wedding Amaterasu,Pure White Halo Dress,48,Bride Amaterasu 6
bride_amaterasu-ua,Bride Amaterasu UA,Joyous Ruler Amaterasu,Pure White Halo Dress,48,Bride Amaterasu UA
garnet-6,Garnet 6★,Driving Opportunist Garnet,Chainsaw Wedding Present,48,Garnet 6
garnet-ua,Garnet UA,Fiery Bride Garnet,Chainsaw Wedding Present,48,Garnet UA
miracle_happy-5,Miracle Happy 5★,Miracle Happy,Peace & Happiness!,48,Miracle Happy 5
miracle_happy-6,Miracle Happy 6★,Super★Miracle Happy,Peace & Happiness!,48,Miracle Happy 6
erwin-5,Erwin 5★,Erwin,Free Celebration,48,Erwin 5
erwin-6,Erwin 6★,AI Processor Erwin,Free Celebration,48,Erwin 6
phi-5,Phi 5★,Phi,Innocent Operetta,48,Phi 5
phi-6,Phi 6★,AI Attendant Phi,Innocent Operetta,48,Phi 6
s_f_hanbei_takenaka-5,School Festival Hanbei Takenaka 5★,High Jump Hanbei Takenaka,Final Dash,48,School Festival Hanbei Takenaka 5
s_f_hanbei_takenaka-6,School Festival Hanbei Takenaka 6★,Hurdling Hanbei Takenaka,Final Dash,48,School Festival Hanbei Takenaka 6
legato-5,Legato 5★,Explosive Melody Legato,Red Hot Concert,48,Legato 5
legato-6,Legato 6★,Frenzied Rhythm Legato,Red Hot Concert,48,Legato 6
cabir-5,Cabir 5★,Cabir,Cabir Invades!,48,Cabir 5
cabir-6,Cabir 6★,Eternal Demonic Laughter Cabir,Cabir Invades!,48,Cabir 6
kevin_nikita-5,Kevin & Nikita 5★,Kevin & Nikita,Forever Friends,48,Kevin & Nikita 5
kevin_nikita-6,Kevin & Nikita 6★,Beast Siblings Kevin & Nikita,Forever Friends,48,Kevin & Nikita 6
poirot-5,Poirot 5★,Poirot,Secrets of Kiddy Land,48,Poirot 5
poirot-6,Poirot 6★,Perceptive Sleuth Poirot,Secrets of Kiddy Land,48,Poirot 6
ibaraki-doji-5,Ibaraki-doji 5★,Ibaraki-doji,Echoing Warcry Rashomon,48,Ibaraki-doji 5
ibaraki-doji-6,Ibaraki-doji 6★,Thundering Demon Ibaraki-doji,Echoing Warcry Rashomon,48,Ibaraki-doji 6
fallen_uriel-5,Fallen Uriel 5★,Angel of the Fallen Uriel F'All,Dark Flame Angel,48,Fallen Uriel 5
fallen_uriel-6,Fallen Uriel 6★,Darkflame Angel Uriel Siseid,Dark Flame Angel,48,Fallen Uriel 6
fallen_gabrielle-5,Fallen Gabrielle 5★,Angel of Descent Gabrielle F'All,Black Angel Beauty,48,Fallen Gabrielle 5
fallen_gabrielle-6,Fallen Gabrielle 6★,Blackblossom Angel Gabrielle Drei,Black Angel Beauty,48,Fallen Gabrielle 6
jerry_mech_joe-5,Jerry Mech Joe 5★,ジョー＆仲良しフレンズ,Awesome! Jerry Robot,48,Jerry Mech Joe 5
jerry_mech_joe-normal,Jerry Mech Joe 6★ Normal,楽戦巨機 ジョー＆仲良しフレンズ,Awesome! Jerry Robot,48,Jerry Mech Joe 6 Normal
jerry_mech_joe-drill,Jerry Mech Joe 6★ Drill,削戦巨機 ジョー＆仲良しフレンズ,Awesome! Jerry Robot,48,Jerry Mech Joe 6 Drill
jerry_mech_joe-buster,Jerry Mech Joe 6★ Buster,砲戦巨機 ジョー＆仲良しフレンズ,Awesome! Jerry Robot,48,Jerry Mech Joe 6 Buster
dormouse-5,Dormouse 5★,予選ターゲットD,Preliminary Target D,48,Dormouse 5
dormouse-6,Dormouse 6★,変新醒 眠りネズミ,Preliminary Target D,48,Dormouse 6
akiko_yosano-5,Akiko Yosano 5★,与謝野晶子,In Regards to Love,48,Akiko Yosano 5
akiko_yosano-6,Akiko Yosano 6★,恋詠の逢女 与謝野晶子,In Regards to Love,48,Akiko Yosano 6
hallucigenia-5,Hallucigenia 5★,古の棘虐 ハルキゲニア,Sadistic Spines of Laughter,48,Hallucigenia 5
hallucigenia-6,Hallucigenia 6★,禍触的棘虐 ハルキゲニア,Sadistic Spines of Laughter,48,Hallucigenia 6
isekai_baphomet-5,Isekai Baphomet 5★,抗鎖の獣拳 バフォメット,Prideful Beast,48,Isekai Baphomet 5
isekai_baphomet-6,Isekai Baphoemt 6★,壊鎖の獣爆拳 バフォメット,Prideful Beast,48,Isekai Baphoemt 6
kumagusu-5,Kumagusu 5★,クマグス,Apostle of the Brain,48,Kumagusu 5
kumagusu-6,Kumagusu 6★,致酔の完棲者 クマグス,Apostle of the Brain,48,Kumagusu 6
idol_pati_praline-5,Idol Pati & Praline 5★,誓の競想歌 パティ＆プラリーヌ,This Feeling to You Half & Half,48,Idol Pati & Praline 5
idol_pati_praline-6,Idol Pati & Praline 6★,愛の甘倍演 パティ＆プラリーヌ,This Feeling to You Half & Half,48,Idol Pati & Praline 6
idol_pati_praline-ua,Idol Pati & Praline UA,深愛の甘倍演 パティ＆プラリーヌ,This Feeling to You Half & Half,48,Idol Pati & Praline UA
nian_beast-5,Nian Beast 5★,Nian Beast,Take back the New Year's Gift,48,Nian Beast 5
nian_beast-6,Nian Beast 6★,Disaster Nian Beast,Take back the New Year's Gift,48,Nian Beast 6
crystal_nian_beast-5,Crystal Nian Beast 5★,Crystal Nian Beast,New Year's Descent Quest,48,Crystal Nian Beast 5
crystal_nian_beast-6,Crystal Nian Beast 6★,Unidentified Crystal Nian Beast,New Year's Descent Quest,48,Crystal Nian Beast 6
columbus-5,Columbus 5★,New World Disorder Columbus,Columbus Invades!,48,Columbus 5
columbus-6,Columbus 6★,Violent Caravel Clash Columbus,Columbus Invades!,48,Columbus 6
qin_dragon_boat-5,QIN Dragon Boat 5★,QIN Dragon Boat Fleet Girl,Dragon Boat Girl Invades!,48,QIN Dragon Boat 5
qin_dragon_boat-6,QIN Dragon Boat 6★,QIN Dragon Boat Fleet Girl Kai,Dragon Boat Girl Invades!,48,QIN Dragon Boat 6
hatsune_miku_v3-4,Hatsune Miku V3 4★,Hatsune Miku V3,Sing it! Hatsune Miku V3,48,Hatsune Miku V3 4
hatsune_miku_v3-5,Hatsune Miku V3 5★,New Era Hatsune Miku V3,Sing it! Hatsune Miku V3,48,Hatsune Miku V3 5
hatsune_miku_v3-6,Hatsune Miku V3 6★,Awakened Hatsune Miku V3,Sing it! Hatsune Miku V3,48,Hatsune Miku V3 6
izaya_orihara-5,Izaya Orihara 5★,折原臨也,Izaya Orihara Invades!,48,Izaya Orihara 5
izaya_orihara-6,Izaya Orihara 6★,謀略の情報屋 折原臨也,Izaya Orihara Invades!,48,Izaya Orihara 6
anri_sonohara-5,Anri Sonohara 5★,園原杏里,Anri Sonohara Invades!,48,Anri Sonohara 5
anri_sonohara-6,Anri Sonohara 6★,依存の母愛 園原杏里,Anri Sonohara Invades!,48,Anri Sonohara 6
sanrio_azazel-5,Sanrio Azazel 5★,楽園からの帰還 アザゼル,I love Sanrio~♪,48,Sanrio Azazel 5
sanrio_azazel-6,Sanrio Azazel 6★,桃源郷での大宴会 アザゼル,I love Sanrio~♪,48,Sanrio Azazel 6
colossal_titan-5,Colossal Titan 5★,超大型巨人,Colossal Titan Invades!,48,Colossal Titan 5
colossal_titan-6,Colossal Titan 6★,猛熱の災厄 超大型巨人,Colossal Titan Invades!,48,Colossal Titan 6
snow_miku_2017-5,Snow Miku 2017 5★,Snow Miku 2017,Starry Sky Diva,48,Snow Miku 2017 5
snow_miku_2017-6,Snow Miku 2017 6★,Starry Sky Diva Snow Miku 2017,Starry Sky Diva,48,Snow Miku 2017 6
kaito_hamelin-5,Kaito Cosplay Hamelin 5★,Rodent Romancer Hamelin,Electroconcerto,48,Kaito Cosplay Hamelin 5
kaito_hamelin-6,Kaito Cosplay Hamelin 6★,Roving Maestro Hamelin,Electroconcerto,48,Kaito Cosplay Hamelin 6
rin_inaba-5,Rin Cosplay Inaba 5★,Heavenly Note Inaba,"Run, run! ALICE GP",48,Rin Cosplay Inaba 5
rin_inaba-6,Rin Cosplay Inaba 6★,Modulated Note Inaba,"Run, run! ALICE GP",48,Rin Cosplay Inaba 6
miku_murasaki_shikibu-5,Miku Cosplay Murasaki Shikibu 5★,Chic Songstress Murasaki Shikibu,Secret Event Spy Mission,48,Miku Cosplay Murasaki Shikibu 5
miku_murasaki_shikibu-6,Miku Cosplay Murasaki Shikibu 6★,Uber Songstress Murasaki Shikibu,Secret Event Spy Mission,48,Miku Cosplay Murasaki Shikibu 6
valkyrie_cat-4,Valkyrie Cat 4★,Valkyrie Cat,Cat Army Invasion!,48,Valkyrie Cat 4
valkyrie_cat-5,Valkyrie Cat 5★,True Valkyrie Cat,Cat Army Invasion!,48,Valkyrie Cat 5
valkyrie_cat-6,Valkyrie Cat 6★,Holy Valkyrie Cat,Cat Army Invasion!,48,Valkyrie Cat 6
bahamut_cat-5,Bahamut Cat 5★,Bahamut Cat,Bahamut Cat Invades!,48,Bahamut Cat 5
bahamut_cat-6,Bahamut Cat 6★,Crazed Bahamut Cat,Bahamut Cat Invades!,48,Bahamut Cat 6
scar-5,Scar 5★,Scar,Scar Invades!,48,Scar 5
scar-6,Scar 6★,The Scarred Man Scar,Scar Invades!,48,Scar 6
ryuji_yamazaki-4,Ryuji Yamazaki 4★,Ryuji Yamazaki,Left-Handed Hysteria,48,Ryuji Yamazaki 4
ryuji_yamazaki-5,Ryuji Yamazaki 5★,Psychopath Killer Ryuji,Left-Handed Hysteria,48,Ryuji Yamazaki 5
ryuji_yamazaki-6,Ryuji Yamazaki 6★,Super Evil Fiend Ryuji,Left-Handed Hysteria,48,Ryuji Yamazaki 6
kim_kaphwan-5,Kim Kaphwan 5★,Kim Kaphwan,Kim's Rehab Trial,48,Kim Kaphwan 5
kim_kaphwan-6,Kim Kaphwan 6★,Crown Jewel of Taekwondo Kim,Kim's Rehab Trial,48,Kim Kaphwan 6
chris-5,Chris 5★,Chris,A Cocoon to a Butterfly,48,Chris 5
chris-6,Chris 6★,Innocent Kaleidoscope Chris,A Cocoon to a Butterfly,48,Chris 6
chris-ua,Chris UA,Orochi Chris,A Cocoon to a Butterfly,48,Chris UA
snow_miku_2018-5,Snow Miku 2018 5★,Snow Miku 2018,Shrine Maiden Diva,48,Snow Miku 2018 5
snow_miku_2018-6,Snow Miku 2018 6★,Winter Shroud Snow Miku 2018,Shrine Maiden Diva,48,Snow Miku 2018 6
azazel_kaito-5,Azazel Cosplay Kaito 5★,Blue Note Performer KAITO,Unleash the Flurry Limits!,48,Azazel Cosplay Kaito 5
azazel_kaito-6,Azazel Cosplay Kaito 6★,Blue Sky Performer KAITO,Unleash the Flurry Limits!,48,Azazel Cosplay Kaito 6
vibrio_enteritis-5,Vibrio Enteritis 5★,腸炎ビブリオ,Mycosis Cleanup in the Intestines,48,Vibrio Enteritis 5
vibrio_enteritis-6,Vibrio Enteritis 6★,好塩菌 腸炎ビブリオ,Mycosis Cleanup in the Intestines,48,Vibrio Enteritis 6
dragon_zombie-5,Dragon Zombie 5★,Dragon Zombie,Dragon Corpse's Stench,48,Dragon Zombie 5
dragon_zombie-6,Dragon Zombie 6★,Rotting Dragon Zombie,Dragon Corpse's Stench,48,Dragon Zombie 6
rose_garden_witch-5,Rose Garden Witch 5★,Rose Garden Witch,Every Rose Has its Thorn,48,Rose Garden Witch 5
rose_garden_witch-6,Rose Garden Witch 6★,Suspicious Barrier Rose Witch,Every Rose Has its Thorn,48,Rose Garden Witch 6
lessar-5,Lessar 5★,Lessar,Sexy Little Devil,48,Lessar 5
lessar-6,Lessar 6★,Devil of New Light Lessar,Sexy Little Devil,48,Lessar 6
natsumi-5,Natsumi 5★,Natsumi,The 7th Spirit,48,Natsumi 5
natsumi-6,Natsumi 6★,Inferiority Complex Natsumi,The 7th Spirit,48,Natsumi 6
natsumi-ua,Natsumi UA,Natsumi,The 7th Spirit,48,Natsumi UA
terabell-4,Terabell 4★,Terabell,Death to the Beast!,48,Terabell 4
terabell-5,Terabell 5★,Explosive Enthusiast Terabell,Death to the Beast!,48,Terabell 5
terabell-6,Terabell 6★,Explosive Princess Terabell,Death to the Beast!,48,Terabell 6
urashima-4,Urashima 4★,Urashima,Battle for Ryugujo,48,Urashima 4
urashima-5,Urashima 5★,Palace Hacker Urashima,Battle for Ryugujo,48,Urashima 5
urashima-6,Urashima 6★,Decaying Genius Urashima,Battle for Ryugujo,48,Urashima 6
kaede-4,Kaede 4★,Kaede,Thumbs in the Air!,48,Kaede 4
kaede-5,Kaede 5★,Graffiti Rebel Kaede,Thumbs in the Air!,48,Kaede 5
kaede-6,Kaede 6★,Artistic Outlaw Kaede,Thumbs in the Air!,48,Kaede 6
silvere-4,Silvere 4★,Sleight-of-Hand Silvere,The Sadistic Sorcerer,48,Silvere 4
silvere-5,Silvere 5★,Sorcerer's Circle Silvere,The Sadistic Sorcerer,48,Silvere 5
silvere-6,Silvere 6★,Magic Stage Silvere,The Sadistic Sorcerer,48,Silvere 6
ja_ridalsa-4,Ja Ridalsa 4★,Ja Ridalsa,Paranoia Art,48,Ja Ridalsa 4
ja_ridalsa-5,Ja Ridalsa 5★,Realist Prodigy Ja Ridalsa,Paranoia Art,48,Ja Ridalsa 5
